HUZSUR_fullCoRE Edges: 0, Vertices: 5,            Beta index:  0.00
AMUFOF_fullCoRE Edges: 0, Vertices: 14,            Beta index:  0.00
KOSJEJ_fullCoRE Edges: 74, Vertices: 52,            Beta index:  1.42
HUFJAV_fullCoRE Edges: 67, Vertices: 54,            Beta index:  1.24
VICSIL_fullCoRE Edges: 15, Vertices: 35,            Beta index:  0.43
RAJFAL_fullCoRE Edges: 0, Vertices: 18,            Beta index:  0.00
SAHNIZ_fullCoRE Edges: 58, Vertices: 58,            Beta index:  1.00
DOHNUL_fullCoRE Edges: 2, Vertices: 53,            Beta index:  0.04
WALBOC01_fullCoRE Edges: 63, Vertices: 90,            Beta index:  0.70
XOGXAU_fullCoRE Edges: 0, Vertices: 4,            Beta index:  0.00
QUTTII01_fullCoRE Edges: 53, Vertices: 79,            Beta index:  0.67
TAZLUD_fullCoRE Edges: 0, Vertices: 15,            Beta index:  0.00
WOYJIF_fullCoRE Edges: 136, Vertices: 96,            Beta index:  1.42
MAPCIP_fullCoRE Edges: 157, Vertices: 93,            Beta index:  1.69
SAYTOD_fullCoRE Edges: 141, Vertices: 97,            Beta index:  1.45
INESIE_fullCoRE Edges: 10, Vertices: 45,            Beta index:  0.22
QEBGEL_fullCoRE Edges: 78, Vertices: 56,            Beta index:  1.39
LICKAL_fullCoRE Edges: 223, Vertices: 80,            Beta index:  2.79
NARTUX_fullCoRE Edges: 31, Vertices: 28,            Beta index:  1.11
POHMAC_fullCoRE Edges: 0, Vertices: 1,            Beta index:  0.00
LUMLIQ_fullCoRE Edges: 30, Vertices: 50,            Beta index:  0.60
IHIWIF_fullCoRE Edges: 0, Vertices: 46,            Beta index:  0.00
PIJDIX_fullCoRE Edges: 30, Vertices: 87,            Beta index:  0.34
IZEPAF_fullCoRE Edges: 54, Vertices: 48,            Beta index:  1.12
MAKRIC_fullCoRE Edges: 25, Vertices: 56,            Beta index:  0.45
NAMZIL_fullCoRE Edges: 48, Vertices: 59,            Beta index:  0.81
ABULOB_fullCoRE Edges: 158, Vertices: 84,            Beta index:  1.88
RONSOC_fullCoRE Edges: 131, Vertices: 89,            Beta index:  1.47
QOSJUF_fullCoRE Edges: 0, Vertices: 6,            Beta index:  0.00
INIDAL_fullCoRE Edges: 120, Vertices: 89,            Beta index:  1.35
NUDLAA_fullCoRE Edges: 198, Vertices: 72,            Beta index:  2.75
PARHAS_fullCoRE Edges: 0, Vertices: 16,            Beta index:  0.00
AKEDIF_fullCoRE Edges: 60, Vertices: 77,            Beta index:  0.78
LEMVOP_fullCoRE Edges: 18, Vertices: 49,            Beta index:  0.37
VIPZAX_fullCoRE Edges: 44, Vertices: 66,            Beta index:  0.67
XUWTAK_fullCoRE Edges: 97, Vertices: 76,            Beta index:  1.28
CAYSIE_fullCoRE Edges: 85, Vertices: 53,            Beta index:  1.60
GIHPAQ_fullCoRE Edges: 75, Vertices: 58,            Beta index:  1.29
MUVHER_fullCoRE Edges: 97, Vertices: 87,            Beta index:  1.11
DALSAN_fullCoRE Edges: 67, Vertices: 72,            Beta index:  0.93
FIFGIM_fullCoRE Edges: 120, Vertices: 73,            Beta index:  1.64
NAHHAI_fullCoRE Edges: 80, Vertices: 31,            Beta index:  2.58
PEGQUP_fullCoRE Edges: 0, Vertices: 9,            Beta index:  0.00
IXIPEK_fullCoRE Edges: 0, Vertices: 82,            Beta index:  0.00
MUHPAI_fullCoRE Edges: 101, Vertices: 92,            Beta index:  1.10
POWBEK_fullCoRE Edges: 0, Vertices: 24,            Beta index:  0.00
WIHTAK_fullCoRE Edges: 172, Vertices: 94,            Beta index:  1.83
ZIKCED_fullCoRE Edges: 2, Vertices: 52,            Beta index:  0.04
CAZGIT_fullCoRE Edges: 55, Vertices: 56,            Beta index:  0.98
UXUZAP_fullCoRE Edges: 16, Vertices: 93,            Beta index:  0.17
BASSUL_fullCoRE Edges: 34, Vertices: 70,            Beta index:  0.49
IBAPEJ_fullCoRE Edges: 35, Vertices: 46,            Beta index:  0.76
AWARIZ_fullCoRE Edges: 27, Vertices: 50,            Beta index:  0.54
SETXEW_fullCoRE Edges: 0, Vertices: 17,            Beta index:  0.00
ADOBUR_fullCoRE Edges: 88, Vertices: 84,            Beta index:  1.05
CIPCUB_fullCoRE Edges: 3, Vertices: 54,            Beta index:  0.06
PAGFUZ_fullCoRE Edges: 62, Vertices: 78,            Beta index:  0.79
GEDSOZ_fullCoRE Edges: 0, Vertices: 14,            Beta index:  0.00
AZAVOO_fullCoRE Edges: 0, Vertices: 2,            Beta index:  0.00
UJIZET_fullCoRE Edges: 0, Vertices: 13,            Beta index:  0.00
WUNVUX_fullCoRE Edges: 24, Vertices: 75,            Beta index:  0.32
BUVWOF02_fullCoRE Edges: 233, Vertices: 66,            Beta index:  3.53
AVIHIY_fullCoRE Edges: 11, Vertices: 17,            Beta index:  0.65
PEJPIF_fullCoRE Edges: 75, Vertices: 46,            Beta index:  1.63
PURRIE_fullCoRE Edges: 60, Vertices: 69,            Beta index:  0.87
HAPNEU_fullCoRE Edges: 0, Vertices: 12,            Beta index:  0.00
VUKTIG_fullCoRE Edges: 0, Vertices: 3,            Beta index:  0.00
ACUFEK_fullCoRE Edges: 62, Vertices: 40,            Beta index:  1.55
CEHTEP_fullCoRE Edges: 159, Vertices: 77,            Beta index:  2.06
NIKDAM_fullCoRE Edges: 76, Vertices: 33,            Beta index:  2.30
GAHXUL_fullCoRE Edges: 90, Vertices: 65,            Beta index:  1.38
MIDSUP01_fullCoRE Edges: 80, Vertices: 90,            Beta index:  0.89
FEYDET_fullCoRE Edges: 103, Vertices: 84,            Beta index:  1.23
MAGCUU_fullCoRE Edges: 48, Vertices: 65,            Beta index:  0.74
IYAJID_fullCoRE Edges: 47, Vertices: 62,            Beta index:  0.76
FIJDOS_fullCoRE Edges: 105, Vertices: 71,            Beta index:  1.48
AVUCEA_fullCoRE Edges: 44, Vertices: 53,            Beta index:  0.83
DAJHOM_fullCoRE Edges: 166, Vertices: 72,            Beta index:  2.31
BAKJEE_fullCoRE Edges: 45, Vertices: 84,            Beta index:  0.54
GUANZS_fullCoRE Edges: 174, Vertices: 91,            Beta index:  1.91
KEJBIL_fullCoRE Edges: 151, Vertices: 58,            Beta index:  2.60
NOWGIR_fullCoRE Edges: 60, Vertices: 65,            Beta index:  0.92
OJIWIO_fullCoRE Edges: 21, Vertices: 63,            Beta index:  0.33
VOCQEJ_fullCoRE Edges: 89, Vertices: 79,            Beta index:  1.13
AFOYIE_fullCoRE Edges: 86, Vertices: 94,            Beta index:  0.91
OPAMOI_fullCoRE Edges: 35, Vertices: 42,            Beta index:  0.83
KONFEA_fullCoRE Edges: 6, Vertices: 42,            Beta index:  0.14
CAZNUO_fullCoRE Edges: 89, Vertices: 52,            Beta index:  1.71
NEGZUW_fullCoRE Edges: 6, Vertices: 23,            Beta index:  0.26
WEHHIC_fullCoRE Edges: 248, Vertices: 93,            Beta index:  2.67
OTABES_fullCoRE Edges: 111, Vertices: 72,            Beta index:  1.54
OBAHUX_fullCoRE Edges: 95, Vertices: 58,            Beta index:  1.64
PATLON_fullCoRE Edges: 50, Vertices: 55,            Beta index:  0.91
NADNEM_fullCoRE Edges: 140, Vertices: 96,            Beta index:  1.46
VOJGOS_fullCoRE Edges: 71, Vertices: 75,            Beta index:  0.95
RIHXIR_fullCoRE Edges: 9, Vertices: 28,            Beta index:  0.32
XUDPOD_fullCoRE Edges: 180, Vertices: 30,            Beta index:  6.00
GIQXEK_fullCoRE Edges: 0, Vertices: 3,            Beta index:  0.00
WOSZEL_fullCoRE Edges: 68, Vertices: 73,            Beta index:  0.93
KEFBOO_fullCoRE Edges: 69, Vertices: 55,            Beta index:  1.25
RUFDUT_fullCoRE Edges: 112, Vertices: 84,            Beta index:  1.33
ADAXEK_fullCoRE Edges: 79, Vertices: 80,            Beta index:  0.99
INOVEN_fullCoRE Edges: 0, Vertices: 22,            Beta index:  0.00
JILWOR_fullCoRE Edges: 157, Vertices: 92,            Beta index:  1.71
ZOFZIF_fullCoRE Edges: 0, Vertices: 38,            Beta index:  0.00
ORULEU_fullCoRE Edges: 58, Vertices: 60,            Beta index:  0.97
DEYLUQ_fullCoRE Edges: 0, Vertices: 43,            Beta index:  0.00
BEPREV01_fullCoRE Edges: 83, Vertices: 75,            Beta index:  1.11
AFOYOK_fullCoRE Edges: 87, Vertices: 78,            Beta index:  1.12
